SquareFeet,Bedrooms,Bathrooms,YearBuilt,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban,Price
1616,3,1,1951,0.0,0.0,1.0,204589.6239232258
1350,4,3,1980,0.0,0.0,1.0,187740.55909463347
1432,4,1,1965,0.0,0.0,1.0,221691.71691975437
1496,2,2,1969,0.0,0.0,1.0,223028.8378232001
2303,5,1,1994,0.0,1.0,0.0,303800.80838443275
2679,4,3,1971,0.0,1.0,0.0,275429.09207489673
2500,4,2,1983,0.0,0.0,1.0,352972.79453569214
1761,3,3,1985,0.0,0.0,1.0,249808.3088836096
1206,2,3,1963,1.0,0.0,0.0,162958.8971601584
1892,3,2,1957,0.0,1.0,0.0,188206.85175837012
2435,5,2,2010,1.0,0.0,0.0,335501.3125662628
1246,2,1,1962,1.0,0.0,0.0,144984.70434629777
2878,3,1,2009,1.0,0.0,0.0,223700.352589492
1573,5,3,1969,1.0,0.0,0.0,187253.0850979752
2497,4,3,1960,0.0,0.0,1.0,299364.90881858143
1327,2,2,2004,0.0,1.0,0.0,70898.66642722239
2298,5,2,1950,0.0,0.0,1.0,333112.4552045177
1478,5,2,2014,1.0,0.0,0.0,201977.6355464764
2054,3,2,1965,1.0,0.0,0.0,219968.7882143103
2107,3,3,2021,0.0,1.0,0.0,234743.71781308984
2169,5,1,1973,0.0,0.0,1.0,246396.16533809315
2876,3,2,1983,0.0,0.0,1.0,325941.5172612414
1700,3,1,1996,0.0,0.0,1.0,182360.8997254149
2787,5,1,2000,0.0,1.0,0.0,240728.74583101275
2327,3,1,1992,0.0,0.0,1.0,253866.13581960677
1021,4,2,1987,1.0,0.0,0.0,163396.9498590668
2986,4,2,1979,0.0,0.0,1.0,287283.7376228736
1848,2,2,2014,1.0,0.0,0.0,171855.797955094
1775,4,3,1982,0.0,1.0,0.0,181663.4339868395
2582,4,1,2000,1.0,0.0,0.0,275409.27510843094
2778,3,2,2010,0.0,1.0,0.0,358451.38836577174
1415,4,2,1966,1.0,0.0,0.0,101189.7529206345
2731,5,1,1956,1.0,0.0,0.0,249048.912218606
2604,3,3,2005,0.0,0.0,1.0,293997.0735728933
2564,3,2,1996,1.0,0.0,0.0,296605.54924783634
1260,2,2,1984,1.0,0.0,0.0,178471.7045463064
2295,2,2,1988,1.0,0.0,0.0,194050.6756641309
2414,3,1,2014,0.0,0.0,1.0,181936.6787002244
1525,4,2,1992,0.0,1.0,0.0,179134.0510680079
2923,3,2,1958,0.0,1.0,0.0,345776.2666680282
1815,3,3,2016,0.0,0.0,1.0,217967.92847377845
2276,4,1,1958,0.0,0.0,1.0,368698.8153242005
2133,2,3,1968,1.0,0.0,0.0,247543.844147146
1781,5,3,1956,1.0,0.0,0.0,238780.43935070155
1461,2,1,1995,1.0,0.0,0.0,202812.86010760852
1741,3,1,2002,0.0,0.0,1.0,141274.27502694924
2514,5,3,1962,0.0,0.0,1.0,219149.5809385837
2241,5,3,2013,0.0,0.0,1.0,282479.0870955991
1997,2,1,1956,0.0,0.0,1.0,262914.85389639944
1534,3,2,2012,1.0,0.0,0.0,194668.183666286
1057,5,1,1999,0.0,1.0,0.0,166226.97956386936
2235,2,1,2018,0.0,0.0,1.0,246956.9833983168
2906,3,1,1959,1.0,0.0,0.0,303747.9882788348
2859,4,1,2019,1.0,0.0,0.0,251854.5949616162
2014,4,3,1961,0.0,1.0,0.0,179050.0706874906
2728,5,3,2009,0.0,1.0,0.0,365851.40964103775
1435,4,1,2009,0.0,0.0,1.0,162472.58572850382
1388,5,1,1979,0.0,0.0,1.0,200525.61189650375
2261,5,3,2016,0.0,0.0,1.0,298792.97421737254
2440,5,1,2002,1.0,0.0,0.0,239002.29735715725
2442,2,3,2007,0.0,1.0,0.0,312943.7449668429
2415,2,1,1992,0.0,1.0,0.0,198945.57817201284
1725,5,1,2000,1.0,0.0,0.0,241550.29938119475
2113,4,2,1951,1.0,0.0,0.0,159838.57624925103
2381,4,1,1950,1.0,0.0,0.0,184312.0672627548
2507,4,3,1996,0.0,1.0,0.0,333125.86564162746
1775,2,1,1957,0.0,1.0,0.0,169727.2177024333
2919,4,2,2003,0.0,1.0,0.0,286531.7134016563
2250,3,2,2021,1.0,0.0,0.0,256440.7218516004
2058,4,2,1966,1.0,0.0,0.0,249558.03719489815
1827,4,2,1976,1.0,0.0,0.0,196859.31436830625
1669,5,3,2018,0.0,0.0,1.0,212616.72235412255
2596,3,3,1971,0.0,0.0,1.0,442623.93604448944
2737,2,1,1995,0.0,0.0,1.0,272211.79418376327
1839,3,1,2019,1.0,0.0,0.0,253862.1466647176
2465,2,2,1954,0.0,0.0,1.0,264515.14755965414
1916,2,1,2008,0.0,0.0,1.0,259388.90620797063
1749,5,2,1988,0.0,0.0,1.0,159320.66647589568
2315,2,2,1953,0.0,1.0,0.0,206845.46444193897
1289,3,3,1970,0.0,1.0,0.0,105359.3164547259
1320,4,1,1975,0.0,1.0,0.0,182153.3849097735
2719,4,1,1961,0.0,0.0,1.0,271326.98286824056
1897,4,1,1962,0.0,0.0,1.0,282377.40650573646
1331,2,3,1968,0.0,0.0,1.0,167872.02036496825
1655,4,3,1993,0.0,1.0,0.0,150614.07171646028
2697,3,2,1986,0.0,1.0,0.0,347168.47197664867
2153,5,2,1950,0.0,1.0,0.0,164942.0436092561
1522,2,3,2008,0.0,1.0,0.0,139199.09093774372
1945,2,1,1998,1.0,0.0,0.0,200023.63566317043
2326,3,3,1981,0.0,1.0,0.0,234935.5628135762
1897,4,1,2015,0.0,1.0,0.0,229672.27587241583
1917,2,1,1974,1.0,0.0,0.0,226091.7465563151
1976,4,1,1998,1.0,0.0,0.0,262583.80152445275
2984,2,2,2021,0.0,1.0,0.0,302209.0902906863
2800,5,2,1967,0.0,0.0,1.0,204671.23088916184
2880,2,2,1969,1.0,0.0,0.0,284582.4850206176
2852,3,2,1953,0.0,1.0,0.0,315959.20071414683
2550,4,2,1987,0.0,1.0,0.0,287151.958116429
1312,5,2,2016,1.0,0.0,0.0,146185.55436361447
2000,4,3,2009,1.0,0.0,0.0,286478.9550145203
2546,2,1,1970,1.0,0.0,0.0,366510.5904383884
1638,2,1,1951,1.0,0.0,0.0,223359.05560293407
2135,2,3,2005,0.0,0.0,1.0,237043.9954181896
2985,2,3,1951,1.0,0.0,0.0,324700.0838385376
2990,5,2,2000,0.0,0.0,1.0,255831.35075839676
2749,5,3,2011,0.0,0.0,1.0,297256.5579895378
1490,5,2,1978,1.0,0.0,0.0,184525.9642251953
1313,4,2,1981,0.0,1.0,0.0,110592.39631498826
2007,2,2,1988,1.0,0.0,0.0,214029.31401574396
1220,2,1,1989,1.0,0.0,0.0,80262.5349821565
2188,2,2,2002,0.0,1.0,0.0,134868.32064244794
1261,2,1,1966,1.0,0.0,0.0,157706.26301682467
1764,5,1,2017,0.0,1.0,0.0,166620.36580238663
2693,3,3,1981,1.0,0.0,0.0,274488.28793467203
2090,4,1,1985,0.0,0.0,1.0,205604.93536263256
2393,4,3,2015,0.0,1.0,0.0,300053.5462320437
1047,2,2,1952,0.0,0.0,1.0,53657.77881193934
1122,2,1,1998,1.0,0.0,0.0,192143.6768460852
1813,5,1,1962,0.0,0.0,1.0,202752.99534519587
2067,2,3,1969,1.0,0.0,0.0,153934.67625011882
2695,2,3,1962,0.0,1.0,0.0,323014.3676648947
2537,5,1,1974,1.0,0.0,0.0,348640.8843010309
1903,5,1,1968,1.0,0.0,0.0,279293.044277145
1369,2,1,1994,0.0,0.0,1.0,168465.3781572518
1140,3,2,1999,1.0,0.0,0.0,57253.346094009336
1035,2,3,1971,0.0,1.0,0.0,132902.62333070658
2815,4,2,1990,0.0,1.0,0.0,227230.70022408685
2203,2,3,2006,0.0,0.0,1.0,148983.26457334362
2571,2,1,1981,0.0,1.0,0.0,286538.5873403676
1009,5,1,1983,1.0,0.0,0.0,187152.5540537586
1683,3,1,1988,0.0,0.0,1.0,114585.93195761212
2319,4,2,2010,0.0,1.0,0.0,193233.6553681466
1949,2,3,1984,0.0,1.0,0.0,232761.07944541343
1638,5,2,2007,0.0,0.0,1.0,213023.35955884508
1547,5,3,1961,0.0,1.0,0.0,198137.8777255841
1519,3,2,1964,0.0,1.0,0.0,234080.24065253916
1035,2,2,1990,0.0,1.0,0.0,66110.5823677553
1042,4,2,2002,0.0,1.0,0.0,159784.2455478884
2497,3,2,1989,1.0,0.0,0.0,268173.64010875224
1274,5,1,1995,1.0,0.0,0.0,230236.11850087743
2800,5,3,2016,1.0,0.0,0.0,261973.18959948784
2673,4,2,1968,1.0,0.0,0.0,280867.0461945111
2369,2,3,2013,0.0,0.0,1.0,220216.97133488397
2563,2,3,1973,0.0,1.0,0.0,294151.1531688706
1533,4,2,1981,0.0,0.0,1.0,105588.689689693
1043,2,2,2020,0.0,0.0,1.0,61161.68730344458
2318,3,1,1952,1.0,0.0,0.0,200481.54612959657
1722,3,3,1989,1.0,0.0,0.0,339718.5701337136
1972,5,3,2015,1.0,0.0,0.0,264579.24424796307
1928,5,3,2010,1.0,0.0,0.0,199091.52292466047
2022,5,2,1989,1.0,0.0,0.0,249610.86911873388
2063,4,1,1995,1.0,0.0,0.0,196726.29608045623
2949,2,2,1984,0.0,0.0,1.0,354513.5215159431
1207,4,3,1963,0.0,1.0,0.0,171344.51259950385
1306,5,1,1983,1.0,0.0,0.0,164706.93359263227
2314,2,1,1996,0.0,0.0,1.0,248172.50502546548
1357,5,3,2015,0.0,0.0,1.0,169052.79554704632
2648,5,2,1971,1.0,0.0,0.0,333049.1134084593
1185,4,3,2003,0.0,1.0,0.0,125021.5423595634
2437,4,2,1980,0.0,1.0,0.0,227890.75267208097
1626,4,2,1965,0.0,1.0,0.0,234190.39291079383
1736,2,2,1983,0.0,1.0,0.0,209854.60549493151
1280,2,3,1963,0.0,0.0,1.0,216366.8396098643
1098,3,3,2011,0.0,0.0,1.0,96810.15543797814
1639,2,3,1968,1.0,0.0,0.0,194422.49924035827
1247,4,3,2017,1.0,0.0,0.0,155184.0235859513
2789,3,3,1976,0.0,0.0,1.0,325239.3517433041
2407,5,1,1953,1.0,0.0,0.0,271209.9057986413
2062,2,3,1989,0.0,1.0,0.0,170381.16934096307
2304,3,2,1966,0.0,0.0,1.0,176644.7860756143
2585,2,1,2002,1.0,0.0,0.0,208821.4854541938
1786,3,3,1960,1.0,0.0,0.0,300180.21027015074
1148,2,2,2001,0.0,1.0,0.0,203391.3986879905
2527,4,1,2007,0.0,1.0,0.0,297694.1059100255
2891,5,1,2005,1.0,0.0,0.0,239120.14702712308
2086,4,2,1961,1.0,0.0,0.0,270219.60804566706
1290,3,3,1951,1.0,0.0,0.0,62549.704341381526
2212,2,3,1986,1.0,0.0,0.0,138974.11628174444
2908,2,1,1969,0.0,1.0,0.0,299214.84618245496
1599,2,2,1964,1.0,0.0,0.0,227948.88750637628
1272,2,1,1958,0.0,0.0,1.0,67444.91218105094
1889,5,1,2008,1.0,0.0,0.0,220977.66953160625
1901,2,3,2021,0.0,1.0,0.0,130462.64067996334
2967,4,3,1967,1.0,0.0,0.0,324465.59641835326
2519,3,2,1997,0.0,0.0,1.0,256197.78121286057
1646,3,2,1983,0.0,0.0,1.0,168157.0727372302
1172,2,3,1965,1.0,0.0,0.0,48426.56952724123
2892,5,1,1955,0.0,1.0,0.0,281019.8690241564
2748,5,1,2008,0.0,0.0,1.0,304504.3980403523
1447,5,2,1950,1.0,0.0,0.0,164041.21516389074
2009,4,1,1987,0.0,1.0,0.0,168430.17420533483
1493,2,1,1967,0.0,0.0,1.0,90880.73931011224
2695,4,1,1960,0.0,1.0,0.0,317425.1516112567
1718,3,1,2007,0.0,0.0,1.0,247183.14775788545
1820,3,1,1981,0.0,1.0,0.0,139822.30353877146
2923,4,2,1972,1.0,0.0,0.0,310955.63645647455
1775,2,3,1991,0.0,0.0,1.0,210686.10499733177
2254,4,3,1964,1.0,0.0,0.0,310765.89787898626
2317,4,2,1999,1.0,0.0,0.0,293254.58849305747
2102,4,3,2000,0.0,0.0,1.0,195283.3462850257
2115,4,2,1952,0.0,0.0,1.0,166215.642571197
1122,4,1,2010,1.0,0.0,0.0,188133.4399953605
1136,4,2,2018,0.0,0.0,1.0,166989.49977363332
2431,5,1,1982,1.0,0.0,0.0,274227.6565302273
1847,4,2,2006,0.0,1.0,0.0,181408.5478856216
1045,3,3,1953,1.0,0.0,0.0,155324.51440267364
1403,4,1,2011,0.0,1.0,0.0,141174.40627125002
2782,4,2,2016,0.0,1.0,0.0,254116.5916316975
2300,2,2,2000,1.0,0.0,0.0,234701.26958798812
2986,5,2,1977,0.0,0.0,1.0,306400.5947167403
2764,2,1,1995,1.0,0.0,0.0,340971.3510112386
2937,2,2,1986,0.0,0.0,1.0,312869.7750145046
1322,4,1,2006,1.0,0.0,0.0,159183.38799407394
1916,5,3,1965,0.0,1.0,0.0,175972.37815895182
1883,2,1,2001,0.0,0.0,1.0,326071.1238451163
2941,4,1,2007,0.0,0.0,1.0,325505.70592136105
2817,4,1,1960,0.0,0.0,1.0,319353.30062369915
2928,2,3,1985,0.0,1.0,0.0,262321.780310462
2667,4,2,1953,1.0,0.0,0.0,323756.2651837768
1026,3,1,1983,0.0,1.0,0.0,174513.21509959354
1870,2,2,1951,1.0,0.0,0.0,220772.02994168585
1625,5,2,1953,1.0,0.0,0.0,147919.55205107536
1502,3,2,1950,0.0,0.0,1.0,232156.003657084
2194,2,3,2006,1.0,0.0,0.0,167956.01352543134
1496,5,1,1968,0.0,1.0,0.0,88262.05717033255
2598,5,3,2004,1.0,0.0,0.0,317665.5390070366
1485,3,2,1997,0.0,1.0,0.0,119722.780868291
1203,3,2,2020,0.0,0.0,1.0,125306.96288818563
1115,4,2,2014,1.0,0.0,0.0,167003.3485083678
1335,3,1,2001,1.0,0.0,0.0,105022.49977736588
2355,5,2,1999,1.0,0.0,0.0,239514.9179227029
1888,5,3,2017,0.0,0.0,1.0,211519.83668848377
2453,2,1,1970,0.0,1.0,0.0,192999.3053526797
1755,4,3,1970,0.0,1.0,0.0,255269.3776040667
2907,2,1,2016,0.0,0.0,1.0,254131.0960610468
2118,3,3,1952,0.0,1.0,0.0,327981.93263748905
1411,5,2,2003,0.0,0.0,1.0,125100.24799712191
1897,2,1,2020,0.0,0.0,1.0,205426.6033030965
1652,5,1,1955,0.0,0.0,1.0,211503.9965270513
1701,5,3,1965,0.0,1.0,0.0,135953.3929970512
1294,5,2,1965,1.0,0.0,0.0,170085.39091918824
1355,5,1,1991,0.0,0.0,1.0,221071.14953290691
2760,2,1,2012,0.0,0.0,1.0,260378.5823132956
1186,5,2,1967,1.0,0.0,0.0,222658.7466724476
1706,5,1,1983,0.0,0.0,1.0,305308.2779387535
2182,2,2,1994,0.0,0.0,1.0,285340.91047212755
1474,4,3,1992,0.0,1.0,0.0,206447.66507983007
